Timestamp,Movement,Sensor
62677.82,EBL,0
62678.229,EBL,1
62678.229,WBL,0
62678.734,EBT,1
62680.241,EBT,1
62680.527,EBL,0
62681.233,EBL,1
62682.843,EBT,1
62683.936,EBL,1
62684.628,EBT,1
62685.941,EBL,1
62687.041,EBT,1
62689.246,EBT,1
62692.438,EBT,1
62694.665,EBT,1
62696.652,EBT,1
62698.743,EBT,1
62699.546,WBL,0
62700.951,WBL,0
62701.341,EBT,1
62702.438,EBL,1
62703.953,EBT,1
62706.047,EBT,1
62707.957,EBT,1
62710.26,EBT,1
62713.369,EBL,1
62713.464,EBT,1
62716.064,EBT,1
62718.659,EBT,1
62721.069,EBT,1
62722.966,EBT,1
62725.173,EBL,1
62725.278,EBT,1
62727.081,EBL,1
62728.278,EBT,1
62728.775,EBL,1
62729.582,WBL,0
62730.586,EBL,0
62730.666,EBT,1
62730.775,EBL,1
62731.679,WBL,0
62732.584,EBT,1
62733.173,WBL,0
62735.289,EBT,1
62737.082,EBT,1
62737.581,WBL,0
62740.484,EBT,1
62742.692,EBT,1
62744.985,WBL,0
62745.192,EBT,1
62745.5,EBL,0
62747.696,EBL,1
62747.989,WBL,0
62748.593,EBT,1
62749.091,EBL,1
62751.206,EBT,1
62751.293,WBL,0
62752.499,EBL,1
62753.596,EBT,1
62755.41,EBT,1
62762.309,NBT,0
62762.517,NBR,0
62764.02,NBT,0
62764.713,NBT,1
62765.322,NBT,0
62765.511,NBT,1
62765.92,NBT,0
62767.829,NBT,1
62768.225,NBT,0
62769.728,NBT,1
62770.229,NBT,0
62770.619,NBT,0
62772.127,NBT,0
62774.431,NBT,1
62775.029,NBT,0
62777.126,WBL,0
62781.236,NBT,1
62783.038,NBT,0
62786.441,NBT,0
62788.437,NBT,0
62790.536,NBR,0
62791.849,WBL,0
62792.651,NBR,0
62794.955,WBL,0
62795.656,NBR,0
62798.262,NBR,0
62799.959,WBL,0
62800.861,NBR,0
62803.062,WBL,0
62806.361,NBR,0
62809.359,EBL,0
62814.271,EBL,0
62814.761,EBL,1
62819.871,WBR,0
62820.574,NBR,0
62821.174,WBR,0
62822.874,WBR,0
62824.073,NBR,0
62825.379,WBR,0
62828.576,EBL,0
62829.077,EBL,1
62832.371,EBL,0
62832.876,EBL,1
62835.49,EBL,1
62836.089,WBL,0
62837.889,EBT,1
62841.584,EBT,1
62841.681,WBL,0
62843.697,EBT,1
62845.793,EBT,1
62847.693,EBT,1
62849.296,EBT,1
62851.797,EBT,1
62853.604,EBT,1
62856.009,EBT,1
62857.504,WBL,0
62857.712,EBT,1
62859.407,EBT,1
62861.917,EBT,1
62863.905,EBT,1
62867.309,WBL,0
62867.811,EBT,1
62870.814,EBT,1
62872.012,EBT,1
62874.423,EBT,1
62876.828,EBT,1
62879.429,WBL,0
62880.527,EBL,1
62880.827,EBT,1
62882.825,EBL,1
62883.033,EBT,1
62885.337,EBT,1
62887.745,EBT,1
62889.846,EBL,1
62890.749,EBT,1
62893.555,EBL,1
62893.649,EBT,1
62895.353,WBL,0
62895.854,EBT,1
62897.557,WBL,0
62898.759,EBT,1
62900.264,WBL,0
62900.86,EBT,1
