Timestamp,ID,Class,RelX,RelY,Angle,Lat,Lng
1765825288.6857252,488710,30,50.178806,14.113568,-0.170265,-0.00015142215728752547,0.0005383601832387265
1765825288.7733114,488710,30,50.178806,14.113568,-0.170265,-0.00015142215728752547,0.0005383601832387265
1765825288.9210393,488710,30,50.178806,14.113568,-0.170265,44.084448577842714,-116.11446163981675
1765825288.9692717,488710,30,50.178806,14.113568,-0.170265,44.084448577842714,-116.11446163981675
1765825289.086748,488710,30,50.178806,14.113568,-0.170265,44.084448577842714,-116.11446163981675
1765825289.175378,488710,30,50.178806,14.113568,-0.170265,44.084448577842714,-116.11446163981675
1765825289.2743802,488710,30,50.178806,14.113568,-0.170265,44.084448577842714,-116.11446163981675
1765825289.3710556,488710,30,50.178806,14.113568,-0.170265,44.084448577842714,-116.11446163981675
1765825289.4709148,488710,30,50.202785,13.930326,-0.164326,44.08445054381609,-116.11446138254999
1765825289.5710664,488710,30,50.222507,13.74134,-0.158488,44.0844525714159,-116.11446117095589
1765825289.6884117,488710,30,50.21619,13.690316,-0.157164,44.08445311884403,-116.11446123872994
1765825289.7717214,488710,30,50.237942,13.570849,-0.153447,44.08445440058589,-116.1144610053563
1765825289.8711452,488710,30,50.052933,13.52821,-0.155708,44.08445485805273,-116.11446299028754
1765825289.9913464,488710,30,49.794094,13.405417,-0.157003,44.0844561754787,-116.11446576732874
1765825290.068145,488710,30,49.96199,13.284834,-0.151057,44.084457469193936,-116.11446396600007
1765825290.193276,488710,30,50.061211,13.277555,-0.149068,44.084457547289134,-116.11446290147423
1765825290.2812562,488710,30,50.126007,13.298747,-0.148394,44.084457319923644,-116.11446220628856
1765825290.3776624,488710,30,49.983803,13.333121,-0.151882,44.08445695113063,-116.11446373197198
1765825290.4690049,488710,30,50.006733,13.548003,-0.157055,44.08445464569688,-116.11446348595976
1765825290.5728378,488710,30,50.066368,13.569781,-0.15658,44.08445441204429,-116.11446284614563
1765825290.6872158,488710,30,50.146873,13.367708,-0.149768,44.084456580052375,-116.11446198242068
1765825290.7872145,488710,30,49.911671,13.161575,-0.148923,44.08445879161954,-116.11446450586438
1765825290.8930278,488710,30,49.735413,13.032521,-0.148942,44.08446017621875,-116.11446639690756
1765825290.985032,488710,30,49.719769,13.103577,-0.150875,44.084459413870576,-116.11446656474948
1765825291.0870352,488710,30,49.433861,13.030849,-0.153856,44.084460194157366,-116.11446963220953
1765825291.1843183,488710,30,49.356808,13.084855,-0.156283,44.08445961473584,-116.11447045889854
1765825291.2896361,488710,30,49.296474,13.150877,-0.15871,44.08445890639663,-116.11447110621214
1765825291.385888,488710,30,49.077915,12.618133,-0.150371,44.08446462211967,-116.11447345109582
1765825291.4924448,488710,30,48.776001,12.7699,-0.158118,44.084462993836404,-116.11447669028162
1765825291.5980573,488710,30,48.290974,12.656293,-0.162288,44.08446421270728,-116.1144818940568
1765825291.6974418,488710,30,47.981754,12.456174,-0.162074,44.084466359751225,-116.11448521162748
1765825291.7934551,488710,30,47.773922,12.281736,-0.161073,44.084468231267934,-116.11448744142294
1765825291.87593,488710,30,47.428207,12.236736,-0.164729,44.08446871406555,-116.11449115054249
1765825291.9688873,488710,30,47.066166,12.086044,-0.166105,44.084470330815314,-116.11449503482103
1765825292.0855672,488710,30,46.888676,11.673754,-0.159427,44.084474754207136,-116.11449693908214
1765825292.1814547,488710,30,46.744724,11.501812,-0.157704,44.08447659894467,-116.11449848351955
1765825292.2863777,488710,30,46.681553,11.263403,-0.153463,44.084479156795744,-116.11449916127086
1765825292.3728642,488710,30,46.595352,11.299748,-0.155541,44.08447876685619,-116.11450008610726
1765825292.471447,488710,30,46.404911,11.153543,-0.155166,44.08448033546567,-116.11450212931751
1765825292.587475,488710,30,45.687923,10.689658,-0.155595,44.084485312411786,-116.11450982176423
1765825292.6865823,488710,30,44.838768,10.390957,-0.160851,44.08448851712585,-116.11451893220901
1765825292.7873757,488710,30,44.387009,10.334497,-0.165619,44.08448912287593,-116.11452377905727
1765825292.889808,488710,30,44.131424,10.060598,-0.16294,44.0844920614934,-116.11452652118682
1765825292.9891613,488710,30,43.629692,9.855762,-0.165035,44.08449425914526,-116.1145319041872
1765825293.0888653,488710,30,43.265347,9.79654,-0.168407,44.08449489452839,-116.11453581318497
1765825293.1901562,488710,30,42.845142,9.728565,-0.172059,44.08449562382102,-116.11454032149553
1765825293.285875,488710,30,42.245537,9.694465,-0.178182,44.08449598967433,-116.11454675455927
1765825293.3906643,488710,30,41.508362,9.484238,-0.181299,44.08449824516535,-116.11455466358899
1765825293.4860501,488710,30,40.996067,9.343218,-0.183403,44.08449975814581,-116.11456015991807
1765825293.589488,488710,30,40.307911,9.228526,-0.18757,44.084500988657474,-116.11456754303097
1765825293.6789064,488710,30,39.679176,9.148566,-0.191576,44.08450184653521,-116.11457428862572
1765825293.7905433,488710,30,38.938046,8.946167,-0.19339,44.084504018040896,-116.11458224008798
1765825293.8880415,488710,30,38.227398,8.874424,-0.197675,44.08450478775978,-116.11458986451387
1765825293.9874897,461111,30,39.092819,2.611559,-0.203001,44.08457198101163,-116.11458057955383
1765825293.9874897,488710,30,37.566742,8.883253,-0.203001,44.08450469303489,-116.11459695258378
1765825294.0853305,461111,30,38.618439,2.749516,-0.202851,44.0845705008936,-116.11458566909909
1765825294.0853305,488710,30,37.154873,8.751658,-0.202851,44.08450610489607,-116.11460137145876
1765825294.1893024,461111,30,37.775497,2.863264,-0.20859,44.08456928050995,-116.11459471288562
1765825294.1893024,488710,30,36.64817,8.840595,-0.20859,44.084505150705574,-116.11460680779219
1765825294.285627,461111,30,37.005486,2.988971,-0.212941,44.08456793182015,-116.1146029742074
1765825294.285627,488710,30,35.816067,8.811831,-0.212941,44.08450545930982,-116.11461573528885
1765825294.3991814,461111,30,36.44165,3.296013,-0.219452,44.08456463761687,-116.1146090235114
1765825294.3991814,488710,30,35.186005,8.939337,-0.219452,44.08450409131885,-116.11462249512076
1765825294.469687,461111,30,35.738365,3.427561,-0.223998,44.084563226259945,-116.11461656894087
1765825294.469687,488710,30,35.45092,9.156695,-0.223998,44.0845017593205,-116.11461965289115
1765825294.5876877,461111,30,34.889576,3.843676,-0.230001,44.08455876183033,-116.1146256754589
1765825294.5876877,488710,30,35.302834,9.354652,-0.230001,44.0844996354723,-116.11462124168158
1765825294.6861746,461111,30,34.107098,4.195992,-0.236379,44.084554981889724,-116.11463407053708
1765825294.6861746,488710,30,35.02874,9.565141,-0.236379,44.08449737717033,-116.11462418239117
1765825294.7888541,461111,30,33.201378,4.538141,0.699699,44.084551311029195,-116.11464378785848
1765825294.7888541,488710,30,34.966652,9.863579,-0.244352,44.08449417527795,-116.11462484852314
1765825294.8882143,461111,30,32.335468,4.999992,0.695819,44.08454635590554,-116.11465307806492
1765825294.8882143,488710,30,34.897915,10.188245,0.747067,44.084490691989664,-116.11462558599113
1765825294.9910321,461111,30,31.396578,5.209939,0.698464,44.084544103418594,-116.11466315126181
1765825294.9910321,488710,30,34.434429,10.524975,0.739001,44.0844870792687,-116.11463055865644
1765825295.0874598,461111,30,30.590483,5.396426,0.700323,44.08454210263014,-116.1146717997229
1765825295.0874598,488710,30,34.079494,10.837946,0.731824,44.08448372145415,-116.11463436669588
1765825295.1878953,461111,30,29.799385,5.740376,0.698364,44.084538412446975,-116.11468028728365
1765825295.1878953,488710,30,33.55257,11.025576,0.728752,44.084481708402635,-116.11464001997709
1765825295.28581,461111,30,28.952799,6.117196,0.696358,44.08453436960697,-116.11468937016606
1765825295.28581,488710,30,33.171661,11.106048,0.728028,44.08448084503174,-116.11464410668731
1765825295.3905053,461111,30,28.227173,6.473455,0.694106,44.08453054736257,-116.11469715528845
